HTS CODE	DESCRIPTION	BASE DUTY RATE
2106.90.62.00	Described in general note 15 of the tariff schedule and entered pursuant to its provisions	10%
2106.90.64.00	Described in additional U.S. note 10 to chapter 4 and entered pursuant to its provisions	10%
2106.90.68.00	Described in additional U.S. note 9 to chapter 17 and entered pursuant to its provisions	10%
2106.90.74.00	Described in additional U.S. note 7 to chapter 17 and entered pursuant to its provisions	10%
2106.90.78.00	Described in additional U.S. note 8 to chapter 17 and entered pursuant to its provisions	10%
2106.90.83.00	Described in general note 15 of the tariff schedule and entered pursuant to its provisions	10%
2106.90.85.00	Described in additional U.S. note 10 to chapter 4 and entered pursuant to its provisions	10%
2106.90.89.00	Described in additional U.S. note 9 to chapter 17 and entered pursuant to its provisions	10%
2106.90.92.00	Described in additional U.S. note 7 to chapter 17 and entered pursuant to its provisions	10%
2106.90.95.00	Described in additional U.S. note 8 to chapter 17 and entered pursuant to its provisions	10%
4202.21.60.00	Valued not over $20 each	10%
4602.11.09.00	Other	10%
5111.11.30.00	"Hand-woven, with a loom width of less than <il>76 cm</il> (410)"	10%
5111.19.20.00	"Hand-woven, with a loom width of less than <il>76 cm</il> (410)"	10%
5210.31.40	Of number 42 or lower number	10%
5210.32.00.00	"3-thread or 4-thread twill, including cross twill (317)"	10%
5210.39.20	Satin weave or twill weave	10%
5210.41.40.00	Of number 42 or lower number (218)	10%
5210.49.10.00	"3-thread or 4-thread twill, including cross twill (218)"	10%
5210.49.20.00	"Satin weave or twill weave, other than 3-thread or 4-thread twill or cross twill (218)"	10%
5210.49.40	Of number 42 or lower number	10%
5210.51.40	Of number 42 or lower number	10%
5210.59.10.00	"3-thread or 4-thread twill, including cross twill (317)"	10%
5210.59.20	"Satin weave or twill weave, other than 3-thread or 4-thread twill or cross twill"	10%
5403.10.30	Single yarn	10%
5403.31.00	"Of viscose rayon, untwisted or with a twist not ex- ceeding 120 turns/m"	10%
5403.32.00.00	"Of viscose rayon, with a twist exceeding 120 turns/m (606)"	10%
5403.39.10.00	Textured yarn (600)	10%
5509.32.00.00	Multiple (folded) or cabled yarn (604)	10%
5509.69.40.00	Multiple (folded) or cabled yarn (607)	10%
5516.14.00	Printed	10%
5801.22.10.00	Greater than 7.5 wales per cm (224)	10%
5801.23.00.00	Other weft pile fabrics (224)	10%
6005.21.00.00	Unbleached or bleached (222)	10%
6005.22.00.00	Dyed (222)	10%
6005.23.00.00	Of yarns of different colors (222)	10%
6005.24.00.00	Printed (222)	10%
6005.35.00.00	Fabrics specified in subheading note 1 to this chapter	10%
6005.36.00	"Other, unbleached or bleached"	10%
6005.37.00	"Other, dyed"	10%
6005.38.00	"Other, of yarns of different colors"	10%
6005.39.00	"Other, printed"	10%
6005.41.00	Unbleached or bleached	10%
6005.42.00	Dyed	10%
6005.43.00	Of yarns of different colors	10%
6005.44.00	Printed	10%
6005.90.10.00	Of wool or fine animal hair (414)	10%
6005.90.90.00	Other (899)	10%
6006.10.00.00	Of wool or fine animal hair (414)	10%
6006.21.10.00	"Circular knit, wholly of cotton yarns exceeding <il>100 metric</il> number per single yarn (222)"	10%
6006.21.90	Other	10%
6006.22.10.00	"Circular knit, wholly of cotton yarns exceeding <il>100 metric</il> number per single yarn (222)"	10%
6006.22.90	Other	10%
6006.23.10.00	"Circular knit, wholly of cotton yarns exceeding <il>100 metric</il> number per single yarn (222)"	10%
6006.23.90	Other	10%
6006.24.10.00	"Circular knit, wholly of cotton yarns exceeding <il>100 metric</il> number per single yarn (222)"	10%
6006.24.90	Other	10%
6006.31.00	Unbleached or bleached	10%
6006.32.00	Dyed	10%
6006.33.00	Of yarns of different colors	10%
6006.34.00	Printed	10%
6006.41.00	Unbleached or bleached	10%
6006.42.00	Dyed	10%
6006.43.00	Of yarns of different colors	10%
6006.44.00	Printed	10%
6115.95.60.00	Containing lace or net (332)	10%
6403.19.50	Golf shoes	10%
6403.51.90	For other persons	10%
6403.59.90	For other persons	10%
6403.91.90	For other persons	10%
6403.99.90	Valued over $2.50/pair	10%
6404.20.40	Valued over $2.50/pair	10%
6405.10.00	With uppers of leather or composition leather	10%
6406.10.10.00	For other persons	10%
6907.21.10	Unglazed	10%
6907.21.20.00	"Having not over 3229 tiles per square meter, most of which have faces bounded entirely by straight lines"	10%
6907.21.30.00	The largest surface area of which is less than 38.7 cm<sup>2</sup>	10%
6907.22.10	Unglazed	10%
6907.22.20.00	"Having not over 3229 tiles per square meter, most of which have faces bounded entirely by straight lines"	10%
6907.22.30.00	The largest surface area of which is less than 38.7 cm<sup>2</sup>	10%
6907.23.10	Unglazed	10%
6907.23.20.00	"Having not over 3229 tiles per square meter, most of which have faces bounded entirely by straight lines"	10%
6907.23.30.00	The largest surface area of which is less than 38.7 cm<sup>2</sup>	10%
6907.30.10	Unglazed	10%
6907.30.20.00	"Having not over 3229 cubes per square meter, most of which have straight lines"	10%
6907.30.30.00	The largest surface area of which is less than 38.7 cm<sup>2</sup>	10%
6907.40.10	Unglazed	10%
6907.40.20.00	"Having not over 3229 finishing ceramics per square meter, most of which have faces bounded entirely by straight lines"	10%
6907.40.30.00	The largest surface area of which is less than 38.7 cm<sup>2</sup>	10%
6912.00.44.00	Mugs and other steins	10%
7111.00.00.00	"Base metals, silver or gold, clad with platinum, not further worked than semimanufactured"	10%
7202.50.00.00	Ferrosilicon chromium	10%
8714.92.50.00	Spokes	10%
8714.93.35.00	Other	10%
8714.96.90.00	Other crank-gear and parts thereof	10%
8714.99.80.00	Other	10%
9603.10.90.00	Other	10%
9607.11.00.00	Fitted with chain scoops of base metal	10%
9902.14.44	"Footwear (other than footwear for men) with outer soles of rubber or plastics and uppers of textile materials other than vegetable fibers, with open toes or open heels, having uppers in which at least 30 percent of the external surface area (including any sheepskin accessories or reinforcements such as those mentioned in note 4(a) to chapter 64) is sheepskin and having outer soles with textile materials having the greatest surface area in contact with the ground, but not taken into account under the terms of additional U.S. note 5 to chapter 64 (provided for in subheading 6404.19.37)"	10.00%
9903.53.01	"Softwood lumber products described in U.S. note 13 to this subchapter, whose Region of Origin is Manitoba, Ontario, Quebec or Saskatchewan"	10%
1901.90.72.00	Containing over 5.5 percent by weight of butterfat and not packaged for retail sale	10.20%
2001.90.25.00	Artichokes	10.20%
5208.21.40	Of numbers 43 to 68	10.20%
5208.29.60	Of numbers 43 to 68	10.20%
5210.11.60	Of numbers 43 to 68	10.20%
5210.19.80	Of number 69 or higher number	10.20%
5510.20.00.00	"Other yarn, mixed mainly or solely with wool or fine animal hair (607)"	10.20%
5208.33.00.00	"3-thread or 4-thread twill, including cross twill (317)"	10.30%
5208.59.20	"Satin weave or twill weave, other than 3-thread or 4-thread twill or cross twill"	10.30%
5210.29.10.00	"3-thread or 4-thread twill, including cross twill (317)"	10.30%
5210.29.20	"Satin weave or twill weave, other than 3-thread or 4-thread twill or cross twill"	10.30%
6103.42.20	Bib and brace overalls	10.30%
6104.62.10	Bib and brace overalls	10.30%
6203.42.05	Bib and brace overalls	10.30%
6203.42.25	Bib and brace overalls	10.30%
6303.19.11.00	Of cotton (369)	10.30%
6303.91.00	Of cotton	10.30%
1704.90.90.00	Other	10.40%
5210.49.60	Of numbers 43 to 68	10.40%
5210.59.60	Of numbers 43 to 68	10.40%
5208.11.80	Other	10.50%
5208.12.80	Of number 69 or higher number	10.50%
5208.19.80	Of number 69 or higher number	10.50%
5801.27.10.00	Epinglé (uncut) (224)	10.50%
6207.19.90	Other	10.50%
6207.99.85	Other	10.50%
6404.11.20	Having uppers of which over 50 percent of the external surface area (including any leather accessories or reinforcements such as those mentioned in note 4(a) to this chapter) is leather	10.50%
6404.19.15	Footwear having uppers of which over 50 percent of the external surface area (including any leather accessories or reinforcements such as those mentioned in note 4(a) to this chapter) is leather	10.50%
6406.10.20	Of which over 50 percent of the external surface area (including any leather accessories or reinforcements such as those mentioned in note 4(a) to this chapter) is leather	10.50%
7013.41.30.00	Valued over $3 but not over $5 each	10.50%
7013.91.30.00	Valued over $3 but not over $5 each	10.50%
7103.10.40.00	Other	10.50%
7103.99.50.00	Other	10.50%
7116.20.40.00	Other	10.50%
5509.12.00.00	Multiple (folded) or cabled yarn (604)	10.60%
5509.22.00	Multiple (folded) or cabled yarn	10.60%
5509.51.60.00	Multiple (folded) or cabled yarn (607)	10.60%
5509.99.40.00	Multiple (folded) or cabled yarn (607)	10.60%
5510.12.00.00	Multiple (folded) or cabled yarn (603)	10.60%
5510.90.40.00	Multiple (folded) or cabled yarn (607)	10.60%
5602.10.90	Other	10.60%
4415.10.90.00	Other	10.70%
4415.20.80.00	Other	10.70%
4421.91.30.00	"Consisting of wooden frames in the center of which are fixed louver boards or slats, with or without their hardware"	10.70%
4421.99.30.00	"Consisting of wooden frames in the center of which are fixed louver boards or slats, with or without their hardware"	10.70%
6114.20.00	Of cotton	10.80%
6213.90.10.00	Of man-made fibers (630)	10.80%
9619.00.61.00	Of cotton	10.80%
0811.90.52.00	Mangoes	10.90%
5508.20.00.00	Of artificial staple fibers (200)	11%
7117.19.20.00	Valued over 33 cents per meter	11%
7117.19.90.00	Other	11%
7117.90.90.00	Other	11%
8712.00.15	Bicycles having both wheels not exceeding <il>63.5 cm</il> in diameter	11%
8712.00.35.00	Other	11%
8712.00.48.00	Other bicycles	11%
9615.19.60.00	Other	11%
9615.90.60.00	Other	11%
0710.22.40	Reduced in size	11.20%
0811.10.00	Strawberries	11.20%
0811.90.22.00	Boysenberries	11.20%
0811.90.40.00	Papayas	11.20%
0811.90.55.00	Melons	11.20%
0812.90.10.00	Mixtures of two or more fruits	11.20%
1006.30.10	Parboiled	11.20%
1901.90.32.00	Cajeta not made from cow's milk	11.20%
2004.90.85	Other	11.20%
2005.10.00.00	Homogenized vegetables	11.20%
2005.91.97.00	Other	11.20%
2005.99.97.00	Other	11.20%
2007.91.10.00	Pastes and pureés	11.20%
2008.30.35.00	Orange	11.20%
2008.99.60.00	Plums (including prune plums and sloes)	11.20%
2008.99.70.00	Frozen	11.20%
6208.19.20.00	Of cotton (352)	11.20%
6208.91.30	Other	11.20%
6406.10.72.00	"Uppers of which less than 50 percent of the external surface area (including any leather, rubber or plastics accessories or reinforcements such as those mentioned in note 4(a) to this chapter) is textile materials"	11.20%
6406.10.77.00	Other (369)	11.20%
9113.20.20.00	Valued not over $5 per dozen	11.20%
9113.20.40.00	Valued over $5 per dozen	11.20%
0709.91.00.00	Globe artichokes	11.30%
0709.93.10.00	Pumpkins	11.30%
0709.99.05.00	"Jicamas, and breadfruit"	11.30%
0710.80.70	Other	11.30%
0714.10.20.00	Other	11.30%
6115.94.00.00	Of wool or fine animal hair (432)	11.30%
6117.10.20	Of man-made fibers	11.30%
6204.43.10.00	Certified hand-loomed and folklore products (636)	11.30%
6204.44.20.00	Certified hand-loomed and folklore products (636)	11.30%
6204.53.10.00	Certified hand-loomed products and folklore products (642)	11.30%
6204.59.10.00	Certified hand-loomed and folklore products (642)	11.30%
6204.63.65.00	Certified hand-loomed and folklore products (648)	11.30%
6206.40.10.00	Certified hand-loomed and folklore products (641)	11.30%
6214.90.00	Of other textile materials	11.30%
6302.53.00	Of man-made fibers	11.30%
6303.12.00	Of synthetic fibers	11.30%
6303.92.10.00	"Made up from fabrics described in subheading 5407.61.11, 5407.61.21 or 5407.61.91 (666)"	11.30%
6303.92.20	Other	11.30%
6303.99.00	Of other textile materials	11.30%
6304.99.15.00	Other (469)	11.30%
6304.99.25.00	Wall hangings of jute	11.30%
6304.99.35.00	Other (899)	11.30%
7013.28.30.00	Valued over $3 but not over $5 each	11.30%
7013.37.30.00	Valued over $3 but not over $5 each	11.30%
7013.42.30.00	Valued over $3 but not over $5 each	11.30%
7013.49.30.00	Valued over $3 but not over $5 each	11.30%
7013.99.80	Valued over $3 but not over $5 each	11.30%
5208.41.60.00	Of numbers 43 to 68 (218)	11.40%
5208.42.40.00	Of numbers 43 to 68 (218)	11.40%
5208.51.60	Of numbers 43 to 68	11.40%
5208.52.40	Of numbers 43 to 68	11.40%
5208.59.80	Of number 69 or higher number	11.40%
5210.21.60	Of numbers 43 to 68	11.40%
5210.29.60	Of numbers 43 to 68	11.40%
5401.10.00.00	Of synthetic filaments (200)	11.40%
5401.20.00.00	Of artificial filaments (200)	11.40%
5508.10.00.00	Of synthetic staple fibers (200)	11.40%
6301.10.00.00	Electric blankets (666)	11.40%
6302.22.20	Other	11.40%
6302.32.20	Other	11.40%
6308.00.00	"Needlecraft sets consisting of woven fabric and yarn, whether or not with accessories, for making up into rugs, tapestries, embroidered tablecloths or napkins, or similar textile articles, put up in packings for retail sale"	11.40%
5208.21.60	Of number 69 or higher number	11.50%
5208.22.80	Of number 69 or higher number	11.50%
6104.42.00	Of cotton	11.50%
6111.20.40.00	Dresses (239)	11.50%
9607.20.00	Parts	11.50%
2002.90.40.00	In powder	11.60%
2002.90.80	Other	11.60%
2103.20.40	Other	11.60%
6204.42.10.00	Certified hand-loomed and folklore products (336)	11.80%
6209.20.10.00	Dresses (239)	11.80%
6211.12.10	Of man-made fibers	11.80%
2008.80.00.00	Strawberries	11.90%
6302.21.30	Napped	11.90%
6302.31.30	Napped	11.90%
0406.90.06.00	Described in general note 15 of the tariff schedule and entered pursuant to its provisions	12%
0406.90.08	Described in additional U.S. note 18 to this chapter and entered pursuant to its provisions	12%
2007.10.00.00	Homogenized preparations	12%
2007.99.48.00	"Apple, quince and pear"	12%
2007.99.60.00	Strawberry	12%
5205.15.20.00	Other (300)	12%
5205.26.00	Measuring less than 125 decitex but not less than 106.38 decitex (exceeding 80 metric number but not exceeding 94 metric number)	12%
5205.27.00	Measuring less than 106.38 decitex but not less than 83.33 decitex (exceeding 94 metric number but not exceeding 120 metric number)	12%
5205.28.00	Measuring less than 83.33 decitex (exceeding 120 metric number)	12%
5205.35.00.00	Exceeding 80 nm per single yarn (300)	12%
5205.46.00	Measuring per single yarn less than 125 decitex but not less than 106.38 decitex (exceeding 80 metric number but not exceeding 94 metric number)	12%
5205.47.00	Measuring per single yarn less than 106.38 decitex but not less than 83.33 decitex (exceeding 94 metric number but not exceeding 120 metric number)	12%
5205.48.00	Measuring per single yarn less than 83.33 decitex (exceeding 120 metric number)	12%
5407.44.00	Printed	12%
5407.53.20	Other	12%
5407.91.10.00	Other (624)	12%
5407.92.10	Other	12%
5407.93.10.00	Other (624)	12%
5407.93.20	Other	12%
5407.94.10.00	Other (624)	12%
5408.23.21.00	Of cuprammonium rayon (618)	12%
5408.23.29	Other	12%
5408.24.10.00	Of cuprammonium rayon (618)	12%
5408.24.90	Other	12%
5408.31.10.00	Other (624)	12%
5408.32.10.00	Other (624)	12%
5408.33.10.00	Other (624)	12%
5408.33.90	Other	12%
5408.34.10.00	Other (624)	12%
5408.34.90	Other	12%
5509.52.00.00	Mixed mainly or solely with wool or fine animal hair (607)	12%
5509.62.00.00	Mixed mainly or solely with cotton (607)	12%
5509.91.00.00	Mixed mainly or solely with wool or fine animal hair (607)	12%
5512.11.00	Unbleached or bleached	12%
5512.21.00	Unbleached or bleached	12%
5512.29.00	Other	12%
5512.99.00	Other	12%
5514.29.00	Other woven fabrics	12%
5514.30.33	Other woven fabrics of polyester staple fibers	12%
5515.12.00	Mixed mainly or solely with man-made filaments	12%
5515.13.10	Other	12%
5515.19.00	Other	12%
5515.22.10.00	Other (624)	12%
5515.91.00	Mixed mainly or solely with man-made filaments	12%
5515.99.10	Other	12%
5516.31.10.00	Other (624)	12%
5516.32.10.00	Other (624)	12%
5516.33.10.00	Other (624)	12%
5516.34.10.00	Other (624)	12%
5516.42.00	Dyed	12%
5516.91.00	Unbleached or bleached	12%
5516.92.00	Dyed	12%
5516.94.00	Printed	12%
5602.10.10.00	Laminated fabrics (223)	12%
5804.21.00.00	Of man-made fibers (229)	12%
6114.90.05	Of wool or fine animal hair	12%
6211.39.03	Of wool or fine animal hair	12%
6211.39.30	Of wool or fine animal hair	12%
6211.49.15	Of wool or fine animal hair	12%
6211.49.60	Of wool or fine animal hair	12%
6304.11.10.00	Of cotton (362)	12%
6304.19.05.00	"Containing any embroidery, lace, braid, edging, trimming, piping or applique work (362)"	12%
6603.20.90.00	Other	12%
8203.20.40.00	Slip joint pliers	12%
9405.91.10.00	Of lead crystal	12%
9405.91.30.00	Other	12%
0406.90.38.00	Other	12.20%
1704.90.52.00	Described in general note 15 of the tariff schedule and entered pursuant to its provisions	12.20%
1704.90.54.00	Described in additional U.S. note 10 to chapter 4 and entered pursuant to its provisions	12.20%
1704.90.64.00	Described in additional U.S. note 7 to this chapter and entered pursuant to its provisions	12.20%
1704.90.74.00	Described in additional U.S. note 8 to this chapter and entered pursuant to its provisions	12.20%
5210.31.60	Of numbers 43 to 68	12.20%
5210.39.60	Of numbers 43 to 68	12.20%
5210.41.60.00	Of numbers 43 to 68 (218)	12.20%
5210.51.60	Of numbers 43 to 68	12.20%
6203.43.65.00	Certified hand-loomed and folklore products (647)	12.20%
6203.49.35.00	Certified hand-loomed and folklore products	12.20%
6205.30.10.00	Certified hand-loomed and folklore products (640)	12.20%
6004.10.00	Containing by weight <il>5 percent</il> or more of elastomeric yarn but not containing rubber thread	12.30%
6004.90.20	Containing elastomeric yarn and rubber thread	12.30%
5210.39.80	Of number 69 or higher number	12.40%
0704.20.00.00	Brussels sprouts	12.50%
0710.80.65.00	Brussels sprouts	12.50%
1604.14.30	Other	12.50%
2002.10.00	"Tomatoes, whole or in pieces"	12.50%
5208.31.80	Of number 69 or higher number	12.50%
5208.32.50	Of number 69 or higher number	12.50%
5208.39.80	Of number 69 or higher number	12.50%
5208.51.80	Of number 69 or higher number	12.50%
5208.52.50	Of number 69 or higher number	12.50%
5210.21.80	Of number 69 or higher number	12.50%
6116.10.13.00	Containing over 50 percent by weight of plastics or rubber	12.50%
6216.00.13.00	Containing over 50 percent by weight of plastics or rubber	12.50%
6402.99.25	Made on a base or platform of cork	12.50%
6402.99.41.00	"Having outer soles with textile materials having the greatest surface area in contact with the ground, but not taken into account under the terms of additional U.S. note 5 to this chapter"	12.50%
6402.99.61.00	"Having outer soles with textile materials having the greatest surface area in contact with the ground, but not taken into account under the terms of additional U.S. note 5 to this chapter"	12.50%
6402.99.71.00	"Having outer soles with textile materials having the greatest surface area in contact with the ground, but not taken into account under the terms of additional U.S. note 5 to this chapter"	12.50%
6404.11.75	"With uppers of textile materials other than vegetable fibers and having outer soles with textile materials having the greatest surface area in contact with the ground, but not taken into account under the terms of additional U.S. note 5 to this chapter"	12.50%
6404.11.85	"With uppers of textile material other than vegetable fibers and having outer soles with textile materials having the greatest surface area in contact with the ground, but not taken into account under the terms of additional U.S. note 5 to this chapter"	12.50%
6404.19.30	Other	12.50%
6404.19.37	"With uppers of textile material other than vegetable fibers and having outer soles with textile materials having the greatest surface area in contact with the ground, but not taken into account under the terms of additional U.S. note 5 to this chapter"	12.50%
6404.19.47	"With uppers of textile material other than vegetable fibers and having outer soles with textile materials having the greatest surface area in contact with the ground, but not taken into account under the terms of additional U.S. note 5 to this chapter"	12.50%
6404.19.57	"With uppers of textile material other than vegetable fibers and having outer soles with textile materials having the greatest surface area in contact with the ground, but not taken into account under the terms of additional U.S. note 5 to this chapter"	12.50%
6404.19.61	"With uppers of textile material other than vegetable fibers and having outer soles with textile materials having the greatest surface area in contact with the ground, but not taken into account under the terms of additional U.S. note 5 to this chapter"	12.50%
6404.19.77	"With uppers of textile material other than vegetable fibers and having outer soles with textile materials having the greatest surface area in contact with the ground, but not taken into account under the terms of additional U.S. note 5 to this chapter"	12.50%
6404.19.87	"With uppers of textile material other than vegetable fibers and having outer soles with textile materials having the greatest surface area in contact with the ground, but not taken into account under the terms of additional U.S. note 5 to this chapter"	12.50%
6405.20.90	Other	12.50%
6405.90.90	Other	12.50%
7013.28.05.00	Pressed and toughened (specially tempered)	12.50%
7013.37.05.00	Pressed and toughened (specially tempered)	12.50%
7013.42.10.00	Pressed and toughened (specially tempered)	12.50%
7013.49.10.00	Pressed and toughened (specially tempered)	12.50%
7013.99.20.00	Pressed and toughened (specially tempered)	12.50%
7318.11.00.00	Coach screws	12.50%
7318.12.00.00	Other wood screws	12.50%
8513.10.20.00	Flashlights	12.50%
8513.90.20.00	Of flashlights	12.50%
4203.29.05.00	"With fourchettes or sidewalls which, at a minimum, extend from fingertip to fingertip between each of the four fingers"	12.60%
4203.29.20.00	Not seamed	12.60%
4203.29.40.00	Not lined	12.60%
4203.29.50.00	Lined	12.60%
9902.14.35	"Sports footwear for women, with outer soles of rubber or plastics and uppers of textile materials, valued over $20/pair, other than ski boots, cross country ski footwear and snowboard boots; such footwear designed to be worn in lieu of, but not over, other footwear as a protection against water, oil, grease or chemicals or cold or inclement weather where such protection is imparted by the use of a laminated textile and has openings in the bottom and/or side of the sole, or covered openings in the upper above the sole unit, or a combination thereof, designed to vent moisture (provided for in subheading 6404.11.90)"	12.60%
9902.01.10	"Artichokes, prepared or preserved otherwise than by vinegar or acetic acid, not frozen (provided for in subheading 2005.99.80)"	12.70%
0406.40.44.00	In original loaves	12.80%
0807.19.10.00	"If entered during the period from August 1 to September 15, inclusive, in any year"	12.80%
1102.90.30.00	Mixtures	12.80%
9404.40.90	Other	12.80%
0404.10.08.00	Described in general note 15 of the tariff schedule and entered pursuant to its provisions	13%
0404.10.11.00	Described in additional U.S. note 10 to this chapter and entered pursuant to its provisions	13%
6216.00.29	"Containing 50 percent or more by weight of cotton, man-made fibers or any combi- nation thereof"	13%
9607.19.00	Other	13%
5509.53.00	Mixed mainly or solely with cotton	13.20%
5509.59.00.00	Other (607)	13.20%
5509.61.00.00	Mixed mainly or solely with wool or fine animal hair (607)	13.20%
5509.69.60.00	Other (607)	13.20%
5509.99.60.00	Other (607)	13.20%
5510.90.60.00	Other (607)	13.20%
5605.00.90.00	Other (201)	13.20%
5804.30.00	Hand-made lace	13.20%
5811.00.10.00	Of wool or fine animal hair (414)	13.20%
6112.39.00	Of other textile materials	13.20%
6112.49.00	Of other textile materials	13.20%
6116.10.55	"Containing 50 percent or more by weight of cotton, man-made fibers or other textile fibers, or any combination thereof"	13.20%
6116.10.75	"Containing 50 percent or more by weight of cotton, man-made fibers or other textile fibers, or any combination thereof"	13.20%
6203.19.10	Of cotton	13.20%
6213.20.10.00	"Hemmed, not containing lace or embroidery (330)"	13.20%
6216.00.24	"Containing 50 per cent or more by weight of cotton, man-made fibers or any combination thereof"	13.20%
6108.29.90.00	Other (852)	13.30%
9902.12.62	"Gloves of horsehide or cowhide (except calfskin) leather, not specially designed for use in sports, not wholly of leather, such gloves without fourchettes or sidewalls (provided for in subheading 4203.29.18)"	13.40%
5208.29.80	Of number 69 or higher number	13.50%
5210.11.80	Of number 69 or higher number	13.50%
6103.32.00.00	Of cotton (333)	13.50%
6115.10.30.00	Of cotton (332)	13.50%
6115.95.90.00	Other (332)	13.50%
6905.10.00.00	Roofing tiles	13.50%
7113.11.20.00	Valued not over $18 per dozen pieces or parts	13.50%
5407.10.00	Woven fabrics obtained from high tenacity yarn of nylon or other polyamides or of polyesters	13.60%
5407.41.00	Unbleached or bleached	13.60%
5512.19.00	Other	13.60%
5513.49.10.00	"3-thread or 4-thread twill, including cross twill, of polyester staple fibers (617)"	13.60%
6103.41.20.00	Bib and brace overalls (459)	13.60%
6103.49.20.00	Bib and brace overalls (659)	13.60%
6104.19.50.00	Of wool or fine animal hair (444)	13.60%
6104.41.00	Of wool or fine animal hair	13.60%
6104.69.10.00	Bib and brace overalls (659)	13.60%
6105.20.10.00	Containing 23 percent or more by weight of wool or fine animal hair (438)	13.60%
6106.90.10	Of wool or fine animal hair	13.60%
6107.99.20.00	Of wool or fine animal hair (459)	13.60%
6111.90.05	Of wool or fine animal hair	13.60%
6204.41.20	Other	13.60%
6204.61.15	Other	13.60%
6204.61.80	Other	13.60%
6204.63.08	Containing 36 percent or more by weight of wool or fine animal hair	13.60%
6204.63.70	Containing 36 percent or more by weight of wool or fine animal hair	13.60%
6204.69.01	Bib and brace overalls	13.60%
6204.69.02	Containing 36 percent or more by weight of wool or fine animal hair	13.60%
6204.69.15	Bib and brace overalls	13.60%
6204.69.22	Containing 36 percent or more by weight of wool or fine animal hair	13.60%
0704.10.60.00	"Cut, sliced or otherwise reduced in size"	14%
0710.10.00.00	Potatoes	14%
0710.30.00.00	"Spinach, New Zealand spinach and orache spinach (garden spinach)"	14%
0710.40.00.00	Sweet corn	14%
0710.80.85.00	Brussels sprouts	14%
0710.90.91.00	Other	14%
0714.90.42.00	Other mixtures of Chinese water chestnuts	14%
0813.20.20	Other	14%
0813.50.00	Mixtures of nuts or dried fruits of this chapter	14%
1904.30.00.00	Bulgur wheat	14%
1904.90.01	Other	14%
2001.90.60.00	Other	14%
2007.99.55.00	Papaya	14%
2008.30.66.00	Limes	14%
2008.30.85.00	Citron	14%
2008.30.96.00	"Other, including bergamots"	14%
2008.99.45.00	Pulp	14%
4015.12.90.00	Other	14%
4015.19.51.00	Other	14%
4203.29.08.00	Other	14%
4203.29.15.00	"With fourchettes or sidewalls which, at a minimum, extend from fingertip to fingertip between each of the four fingers"	14%
4203.29.18.00	Other	14%
4203.29.30	Men's	14%
4503.90.60.00	Other	14%
5801.32.00.00	Cut corduroy (224)	14%
5801.37.10.00	Epinglé (uncut) (224)	14%
5802.20.00	"Terry toweling and similar woven terry fabrics, of other textile materials"	14%
6202.20.19.00	"Padded, sleeveless jackets (459)"	14%
6202.20.35.00	"Padded, sleeveless jackets (459)"	14%
6204.11.00.00	Of wool or fine animal hair (444)	14%
6204.51.00	Of wool or fine animal hair	14%
6211.20.44.00	Of wool or fine animal hair (459)	14%
6211.20.74.00	Of wool or fine animal hair (459)	14%
6911.10.45.00	Mugs and other steins	14%
7013.22.20.00	Valued over $1 but not over $3 each	14%
7013.33.20.00	Valued over $1 but not over $3 each	14%
7013.41.20.00	Valued over $1 but not over $3 each	14%
7013.91.20.00	Valued over $1 but not over $3 each	14%
8111.00.47.00	Flake containing at least 99.5 percent by weight manganese	14%
8111.00.49	Other	14%
8215.99.30.00	Spoons valued under 25¢ each	14%
8605.00.00.00	"Railway or tramway passenger coaches, not self- propelled; luggage vans, post office coaches and other special purpose railway or tramway coaches, not self- propelled (excluding those of heading 8604)"	14%
8606.10.00.00	Tank cars and the like	14%
8606.30.00.00	"Self-discharging cars, other than those of subheading 8606.10"	14%
8606.91.00.00	Covered and closed	14%
8606.92.00.00	"Open, with non-removable sides of a height exceeding 60 cm"	14%
8606.99.01	Other	14%
9102.29.02.00	"Straps, bands or bracelets entered with watches of subheading 9102.29.04 and classifiable therewith pursuant to additional U.S. note 2 to this chapter; all the foregoing whether or not attached to such watches at the time of entry"	14%
9603.10.35.00	Valued over 96¢ each	14%
9903.45.01	"If entered in an aggregate quantity, in any quarterly period specified in note 17(i) to this subchapter, not exceeding 300,000 units in any such quarterly period, under the terms of such note"	14%
5608.90.23.00	Hammocks	14.10%
5608.90.27.00	Other (229)	14.10%
5810.10.00.00	Embroidery without visible ground (229)	14.10%
5903.10.18.00	Other (229)	14.10%
6003.10.10.00	"Open-work fabrics, warp knit (229)"	14.10%
6003.20.10.00	"Open-work fabrics, warp knit (229)"	14.10%
6003.30.10.00	"Open-work fabrics, warp knit (229)"	14.10%
6003.40.10.00	"Open-work fabrics, warp knit (229)"	14.10%
6003.90.10.00	"Open-work fabrics, warp knit (229)"	14.10%
0404.90.28.00	Described in general note 15 of the tariff schedule and entered pursuant to its provisions	14.50%
0404.90.30.00	Described in additional U.S. note 10 to this chapterand entered pursuant to its provisions	14.50%
0811.90.80	Other	14.50%
5309.21.20.00	Containing more than 17 percent by weight of wool or fine animal hair (410)	14.50%
5309.29.20.00	Containing more than 17 percent by weight of wool or fine animal hair (410)	14.50%
5311.00.20.00	Containing more than 17 percent by weight of wool or fine animal hair (410)	14.50%
